p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
APOL6	9.93633768906389e-09	-1.54263850123326	0.087	0.261	0.000262796259200362	1	APOL6
MAN1A1.1	9.9978622033244e-09	-0.770019762965405	0.215	0.442	0.000264423459553524	1	MAN1A1
SPEF2.1	1.01387867100315e-08	-1.94128590809267	0.033	0.183	0.000268150630906913	1	SPEF2
MAGI2.1	1.01436095168642e-08	-0.897349864711886	0.417	0.645	0.000268278184502024	1	MAGI2
BHLHE41.1	1.02097828666789e-08	-2.09369066365586	0.041	0.195	0.000270028337257924	1	BHLHE41
HDLBP.1	1.02635852107669e-08	-0.55702492773189	0.355	0.596	0.000271451301654362	1	HDLBP
TGFB1I1.1	1.03179156159611e-08	0.833260769467919	0.595	0.5	0.000272888232210938	1	TGFB1I1
SMPDL3A	1.04471601465904e-08	-1.39506752158229	0.087	0.266	0.000276306491557022	1	SMPDL3A
PKIB.1	1.07645593067969e-08	-4.17890940195414	0.004	0.13	0.000284701064546166	1	PKIB
PLN.1	1.14850887571358e-08	-4.96477726817127	0.004	0.129	0.000303757627448728	1	PLN
BMP4.1	1.16943357619638e-08	-0.681214671413452	0.178	0.396	0.000309291792232418	1	BMP4
NFIL3	1.17994345342906e-08	-0.756120622673984	0.227	0.464	0.000312071444562918	1	NFIL3
DMKN.1	1.18285274521822e-08	-3.60201163012086	0.008	0.137	0.000312840894055315	1	DMKN
GLIS1.1	1.19129976204084e-08	-4.49105893923244	0.004	0.129	0.000315074961064562	1	GLIS1
MORN2.1	1.20289230709446e-08	-1.12146122504358	0.099	0.286	0.000318140957380343	1	MORN2
EPB41.1	1.21047428588564e-08	-4.02778520491798	0.008	0.136	0.000320146239131033	1	EPB41
ERRFI1	1.22086436605924e-08	-0.591330752698528	0.24	0.475	0.000322894207535349	1	ERRFI1
HMGN1.1	1.23840058761447e-08	-0.575398534517608	0.459	0.699	0.000327532187412276	1	HMGN1
CTDSPL.1	1.27329927039912e-08	-0.628884013166389	0.335	0.597	0.000336762191035159	1	CTDSPL
PRKCA-AS1.1	1.29079837714257e-08	-1.390037559401	0.066	0.234	0.000341390354786668	1	PRKCA-AS1
NEGR1.1	1.29830115289499e-08	-0.639450951898814	0.339	0.578	0.000343374688917667	1	NEGR1
SMAD7	1.33429156606968e-08	-1.47196808359771	0.058	0.223	0.00035289343339411	1	SMAD7
SESTD1.1	1.34262503941474e-08	-0.955509772630938	0.112	0.304	0.000355097470424411	1	SESTD1
RAB34.1	1.36470995643548e-08	-0.615597690268832	0.438	0.667	0.000360938489278056	1	RAB34
FTX.1	1.39675991661173e-08	-0.586615577099573	0.595	0.811	0.000369415062745471	1	FTX
PHIP.1	1.401905018642e-08	-0.77903381469383	0.318	0.545	0.000370775839330437	1	PHIP
PLCB1.1	1.41754331665205e-08	-0.792474430917876	0.376	0.619	0.000374911856388135	1	PLCB1
JCAD.1	1.41935830058752e-08	-1.11446676865697	0.025	0.167	0.000375391883339386	1	JCAD
CCNB1IP1	1.42008504683463e-08	-0.706085856926789	0.186	0.397	0.000375584093186822	1	CCNB1IP1
ALDH3A2.1	1.44352640647913e-08	-1.08146685839171	0.103	0.289	0.0003817838639856	1	ALDH3A2
CADPS2.1	1.4500377952909e-08	-0.80628074426274	0.256	0.474	0.000383505996098537	1	CADPS2
GALNT10.1	1.4658421295051e-08	-4.27316046898131	0.004	0.128	0.000387685926411508	1	GALNT10
MSI2.1	1.4729801657255e-08	-0.969627536694782	0.244	0.458	0.000389573794231079	1	MSI2
RRBP1.1	1.48187927141839e-08	-0.619581021491189	0.43	0.663	0.000391927429704736	1	RRBP1
TCTN1.1	1.54160854863113e-08	-1.01640173536028	0.128	0.324	0.000407724628941961	1	TCTN1
FTO.1	1.55161424097633e-08	-0.697170304144151	0.293	0.518	0.00041037093445342	1	FTO
C9orf72.1	1.60355880353302e-08	-1.12921783968369	0.107	0.294	0.000424109232358412	1	C9orf72
C1QTNF7.1	1.64281469891191e-08	-1.83976883350693	0.05	0.206	0.000434491631568222	1	C1QTNF7
MYO1D.1	1.65876474517292e-08	-0.747272836380561	0.264	0.488	0.000438710099803333	1	MYO1D
CRISPLD2.1	1.69243984228477e-08	-0.536210269687722	0.814	0.911	0.000447616489487476	1	CRISPLD2
TRHDE-AS1.1	1.71408192799625e-08	-5.23722856782553	0	0.119	0.000453340388316448	1	TRHDE-AS1
COCH	1.7704003771828e-08	-2.22741517676825	0.07	0.231	0.000468235491757306	1	COCH
MAN2A1.1	1.82515727588081e-08	-1.42861997295466	0.07	0.239	0.000482717596324956	1	MAN2A1
TMEM9B.1	1.83088735420139e-08	-0.657724628345433	0.087	0.268	0.000484233087439184	1	TMEM9B
EID1.1	1.84480382901364e-08	-0.359502506879357	0.868	0.922	0.000487913716697528	1	EID1
RPS26.1	1.85071583311274e-08	0.452436621897728	0.893	0.879	0.000489477323541657	1	RPS26
KIZ.1	1.86052775280001e-08	-1.02827348319114	0.12	0.311	0.000492072380060546	1	KIZ
TARID.1	1.87955711257471e-08	-1.64704056990919	0.074	0.24	0.00049710526513376	1	TARID
FBXL17.1	1.92230368933009e-08	-0.515835791881891	0.231	0.449	0.000508410879754022	1	FBXL17
MPP5.1	1.98018448967692e-08	-0.923872926716447	0.153	0.352	0.000523719193829752	1	MPP5
NINJ1.1	1.9834427814492e-08	-1.49308786450095	0.083	0.252	0.000524580946837684	1	NINJ1
GAS7.1	1.99128535700335e-08	-3.871659303648	0.004	0.126	0.000526655151220246	1	GAS7
PHYHD1	1.99269026567438e-08	-1.08112065198506	0.12	0.313	0.000527026721465561	1	PHYHD1
PRPS2.1	2.02813816056568e-08	-1.39511292575601	0.128	0.313	0.000536401980706411	1	PRPS2
TNIK.1	2.04027959809646e-08	-1.12789330831647	0.103	0.289	0.000539613148104551	1	TNIK
DPYD.1	2.04947182698375e-08	-0.761940098401095	0.554	0.752	0.000542044308800663	1	DPYD
GCLC.1	2.06423057949881e-08	-1.09382912284531	0.083	0.255	0.000545947703665845	1	GCLC
ARL4C.1	2.07600415153615e-08	-1.89555060192675	0.037	0.185	0.000549061577998282	1	ARL4C
S100A11.1	2.0984472581219e-08	-0.500462009215638	0.785	0.884	0.000554997330828081	1	S100A11
HECTD2.1	2.13394605547264e-08	-1.15391377542503	0.116	0.303	0.000564386052751403	1	HECTD2
AC073050.1.1	2.15407324276528e-08	-6.18561757423115	0	0.117	0.000569709291246561	1	AC073050.1
BMERB1.1	2.16985648126409e-08	-0.780853561023129	0.244	0.467	0.000573883642164727	1	BMERB1
CDKAL1.1	2.18026022408972e-08	-0.953561981167762	0.231	0.445	0.000576635224067249	1	CDKAL1
NOSTRIN	2.21474054866513e-08	1.87090941655733	0.182	0.074	0.000585754580310953	1	NOSTRIN
LINGO1	2.24432245724099e-08	2.03072808943982	0.136	0.046	0.000593578403491098	1	LINGO1
SOCS2-AS1.1	2.26826021585557e-08	-1.39584043281903	0.07	0.235	0.00059990946188948	1	SOCS2-AS1
EDIL3.1	2.26891961552399e-08	-0.620791197686553	0.244	0.47	0.000600083859913784	1	EDIL3
MT2A.1	2.29200139147359e-08	0.30849518583861	0.905	0.826	0.000606188528016935	1	MT2A
LIMCH1.1	2.33784665909906e-08	-2.90943712093925	0.012	0.141	0.000618313684398519	1	LIMCH1
PAPSS2.1	2.34241154389425e-08	-0.646938463003936	0.165	0.367	0.000619521005129151	1	PAPSS2
ROR2.1	2.35745981926126e-08	-1.13425001895659	0.103	0.28	0.000623500972998217	1	ROR2
ZFX.1	2.38417031721903e-08	-0.901421681964053	0.231	0.444	0.000630565365498089	1	ZFX
PREX1.1	2.40344273121104e-08	-3.35566945549687	0.008	0.133	0.000635662533550695	1	PREX1
CCDC85A.1	2.4143207083662e-08	-5.75967826706058	0	0.116	0.000638539540948693	1	CCDC85A
HACD4.1	2.4143207083662e-08	-5.00672243714499	0	0.116	0.000638539540948693	1	HACD4
GPX8.1	2.42651283634767e-08	-0.905198392262104	0.132	0.328	0.000641764114957231	1	GPX8
ADORA2A	2.43468743028885e-08	2.42485644446118	0.099	0.026	0.000643926131562795	1	ADORA2A
CYP27A1.1	2.442999922204e-08	-1.12526068828549	0.074	0.246	0.000646124619424513	1	CYP27A1
PHLDA3.1	2.44595185507503e-08	-0.853407804142762	0.12	0.314	0.000646905346630244	1	PHLDA3
DAB1.1	2.59350238258416e-08	-2.58005481819301	0.037	0.18	0.000685929510145858	1	DAB1
CHST12	2.60340336529262e-08	-1.00700358347452	0.079	0.252	0.000688548122052591	1	CHST12
ANXA5	2.61001100689125e-08	-0.415819749927456	0.748	0.872	0.000690295711102598	1	ANXA5
MXRA5.1	2.63665659613484e-08	-0.940318727216472	0.116	0.302	0.000697342936545744	1	MXRA5
AC105383.1.1	2.63990041736205e-08	-1.8554504455338	0.025	0.165	0.000698200862383915	1	AC105383.1
ZNF827.1	2.65345541372097e-08	-2.19286991165693	0.025	0.163	0.000701785887820922	1	ZNF827
TSPAN4	2.70401201979365e-08	-0.59487553114815	0.388	0.626	0.000715157098995024	1	TSPAN4
ACADL.1	2.7056789520595e-08	-5.26649437228208	0	0.116	0.000715597969240696	1	ACADL
BAX.1	2.74659734055082e-08	1.03104284229655	0.5	0.39	0.000726420064628882	1	BAX
CWC27	2.75938531804629e-08	-0.77570290585023	0.186	0.398	0.000729802228916882	1	CWC27
TMED10.1	2.8804707776844e-08	-0.558539890673626	0.368	0.602	0.00076182691128197	1	TMED10
LINC00571.1	2.91939596715397e-08	-4.50496405616097	0.004	0.123	0.000772121845392883	1	LINC00571
AP000769.6	3.08020791466115e-08	3.45593178201972	0.066	0.012	0.00081465338926958	1	AP000769.6
SLC25A27.1	3.0959146771963e-08	-0.889347758932972	0.132	0.328	0.000818807513824879	1	SLC25A27
TMCO3.1	3.09913571027575e-08	-1.24670366007552	0.087	0.261	0.00081965941265373	1	TMCO3
CLN5.1	3.11514753083703e-08	-0.83842878838036	0.145	0.346	0.000823894218955777	1	CLN5
EIF4B	3.11678687422649e-08	-0.449368960851415	0.434	0.681	0.000824327792495421	1	EIF4B
LZTS1-AS1	3.23584224574206e-08	2.59958397780483	0.083	0.019	0.000855815557153859	1	LZTS1-AS1
SACS.1	3.25958861670604e-08	-1.1034815129273	0.021	0.154	0.000862095997346412	1	SACS
TNFSF13.1	3.28788252735741e-08	-1.80051647641621	0.041	0.188	0.000869579170835487	1	TNFSF13
SULT1C4.1	3.29325635764767e-08	-3.0401600084937	0.004	0.123	0.000871000441470657	1	SULT1C4
CHN1	3.3000588577446e-08	0.934088452176896	0.57	0.504	0.000872799566696293	1	CHN1
CARMN	3.30234505322757e-08	1.1474377924127	0.417	0.28	0.000873404219677629	1	CARMN
SLC12A2.1	3.32163618772795e-08	1.06991094208818	0.537	0.429	0.000878506338930288	1	SLC12A2
SERTAD4-AS1.1	3.32937715470662e-08	-1.53940892503971	0.045	0.198	0.000880553669876808	1	SERTAD4-AS1
HIBADH.1	3.42410763812197e-08	-0.803447314822259	0.227	0.446	0.0009056079881305	1	HIBADH
TNFSF13B	3.55527865019769e-08	-1.8967350216094	0.017	0.145	0.000940300097404286	1	TNFSF13B
TENT5C.1	3.57470104027018e-08	-0.673591682717753	0.124	0.314	0.000945436931130658	1	TENT5C
PUS7L.1	3.68274263815867e-08	-1.25894662373895	0.079	0.244	0.000974011772940204	1	PUS7L
KCNE3.1	3.68899468042472e-08	-2.87091360596416	0.004	0.122	0.00097566531307873	1	KCNE3
TAGLN2.1	3.70879245596728e-08	0.440684644925698	0.88	0.851	0.000980901428754225	1	TAGLN2
FBXO11.1	3.73223997809392e-08	-0.642939635556536	0.339	0.576	0.000987102829406279	1	FBXO11
CCNH.1	3.75516484642452e-08	-0.768886738511289	0.347	0.576	0.000993165998582358	1	CCNH
APOL1.1	3.76381149528842e-08	-0.836465659633109	0.124	0.314	0.000995452864273882	1	APOL1
TMBIM4.1	3.84618727946011e-08	-0.49030902576801	0.492	0.757	0.00101723961167161	1	TMBIM4
P2RX3	3.85158838868596e-08	3.10212058964821	0.058	0.009	0.00101866809703966	1	P2RX3
CD74.1	3.86495110344582e-08	-1.26602260394506	0.153	0.343	0.00102220226783935	1	CD74
AL365295.1.1	3.86558756102651e-08	-3.29275166733378	0.012	0.137	0.00102237059814029	1	AL365295.1
LINC01237.1	3.88111719995656e-08	-4.04950899899932	0.004	0.122	0.00102647787704451	1	LINC01237
FBXO2.1	3.89351258772365e-08	-2.16664826330236	0.021	0.153	0.00102975620920115	1	FBXO2
ULK4.1	3.91604943689256e-08	-1.52864152630422	0.091	0.259	0.00103571675506935	1	ULK4
KLF15	3.91649114362037e-08	-0.967125270261669	0.066	0.233	0.00103583357766472	1	KLF15
AC090579.1	3.93565269630428e-08	2.039882015626	0.14	0.05	0.00104090142511856	1	AC090579.1
IL13RA2.1	3.94081550435545e-08	-2.13142576634725	0.037	0.178	0.00104226688459193	1	IL13RA2
STX17.1	3.94967260446357e-08	-0.759584716858615	0.174	0.379	0.00104460941042853	1	STX17
FBLN7	3.98258611881161e-08	-1.98059297932336	0.029	0.166	0.0010533143767033	1	FBLN7
NECTIN3.1	4.01154484644285e-08	-0.690168359258728	0.099	0.276	0.0010609733809872	1	NECTIN3
P2RX2.1	4.10467100031901e-08	-3.15620362052867	0.004	0.122	0.00108560338616437	1	P2RX2
WNT11	4.1443786549555e-08	2.58499404998183	0.136	0.048	0.00109610526666263	1	WNT11
CREB3L1.1	4.15054053037243e-08	-4.12750823515706	0.004	0.121	0.0010977349594729	1	CREB3L1
ADGRL3.1	4.17801740528051e-08	-4.76458205599956	0.004	0.121	0.00110500204334859	1	ADGRL3
BOC.1	4.20366473329704e-08	-1.30518242288855	0.095	0.268	0.0011117852486624	1	BOC
FBXO44	4.23449318361003e-08	-2.51331544957883	0.029	0.163	0.00111993875720118	1	FBXO44
CD55.1	4.94433672300204e-08	-1.32714842709326	0.05	0.199	0.00130767817649958	1	CD55
TCEAL4.1	4.96468002585299e-08	-0.465027273401138	0.781	0.9	0.0013130585732376	1	TCEAL4
RGMB.1	4.99859441618579e-08	-1.4540093372878	0.05	0.202	0.00132202825119282	1	RGMB
VTI1B.1	5.0070625850467e-08	-0.617351720655805	0.174	0.39	0.00132426791249315	1	VTI1B
NHS.1	5.12343094140912e-08	-0.897341090406733	0.202	0.406	0.00135504501538388	1	NHS
SLC30A7	5.1570540041798e-08	-1.18860559161259	0.066	0.226	0.00136393764302547	1	SLC30A7
FUCA1	5.18262008980291e-08	-1.56229297164537	0.045	0.192	0.00137069936135107	1	FUCA1
SLC66A3	5.30832418714345e-08	-0.640561327012967	0.132	0.328	0.0014039455810157	1	SLC66A3
MEG3.1	5.31188922481833e-08	-0.772188005832308	0.393	0.615	0.00140488846217995	1	MEG3
PPP2R5A.1	5.3215276421902e-08	-1.05733477310278	0.066	0.225	0.00140743763080646	1	PPP2R5A
FAM171B.1	5.3520892107685e-08	-1.4003941009633	0.033	0.174	0.00141552055446405	1	FAM171B
SLF2.1	5.50921266546508e-08	-0.681496708941066	0.198	0.412	0.00145707656576221	1	SLF2
ARHGEF26.1	5.69504723047638e-08	-1.79923639950352	0.058	0.209	0.00150622609151639	1	ARHGEF26
SLC14A1.1	5.7592215346792e-08	-3.54483494872011	0.012	0.134	0.00152319891149196	1	SLC14A1
CHCHD7.1	5.77327606902177e-08	-1.05610347012776	0.112	0.288	0.00152691605473488	1	CHCHD7
AC068587.4.1	5.85780766316767e-08	-1.23759475639183	0.07	0.23	0.00154927297075459	1	AC068587.4
EDN3.1	5.98650932951367e-08	-5.20824963979549	0	0.11	0.00158331198746977	1	EDN3
NID1.1	6.02696200859303e-08	0.596351333703535	0.731	0.651	0.00159401091203269	1	NID1
TCN2.1	6.13379254676853e-08	-1.86712364923606	0.021	0.15	0.00162226545276934	1	TCN2
SNTB2	6.17559999267617e-08	-1.05586757557834	0.12	0.3	0.00163332268606299	1	SNTB2
RECK.1	6.28370291755068e-08	-1.20061899838571	0.107	0.279	0.0016619137476338	1	RECK
MAL	6.38225587556204e-08	-2.61794956370976	0.017	0.142	0.00168797903396865	1	MAL
TRAK1.1	6.38235932438511e-08	0.846995984296904	0.426	0.277	0.00168800639411337	1	TRAK1
PXYLP1.1	6.5358504566271e-08	-1.04939678065316	0.095	0.267	0.00172860172876874	1	PXYLP1
STEAP1.1	6.62600806589979e-08	-2.05155369723225	0.041	0.183	0.00175244661326918	1	STEAP1
PACRGL	6.68889460142729e-08	-1.61863355289762	0.05	0.197	0.00176907884418549	1	PACRGL
LSM5	6.71002213226654e-08	-0.662231235797233	0.244	0.461	0.00177466665354186	1	LSM5
NGF.1	6.77155130691325e-08	0.828812578463972	0.393	0.24	0.00179093988965242	1	NGF
TSPAN33.1	6.79979394258577e-08	-3.18371750071592	0.008	0.126	0.00179840950193509	1	TSPAN33
RNF112.1	7.20007193983946e-08	-2.84686138114874	0.008	0.126	0.00190427502664874	1	RNF112
EFNA5.1	7.23507731190594e-08	-4.05923808562351	0.008	0.125	0.00191353324745288	1	EFNA5
ANO5.1	7.23507731190594e-08	-3.42079615197219	0.008	0.125	0.00191353324745288	1	ANO5
TDO2.1	7.2375621728421e-08	2.40019067562849	0.083	0.02	0.00191419044347328	1	TDO2
FHIT.1	7.37367920373418e-08	-1.54228429204753	0.107	0.273	0.00195019067580362	1	FHIT
LTBP2.1	7.50322770802102e-08	-5.21570718914642	0	0.109	0.0019844536642174	1	LTBP2
RBPMS2	7.5193819647615e-08	1.51261335055399	0.264	0.142	0.00198872614204012	1	RBPMS2
MBD5.1	7.9137433281266e-08	-0.608617200391361	0.446	0.659	0.00209302683542292	1	MBD5
DNPH1	8.04636262602798e-08	-0.67574132533169	0.182	0.386	0.00212810198733188	1	DNPH1
DYM.1	8.1674248652198e-08	-0.698475797143043	0.252	0.47	0.00216012052835333	1	DYM
KCTD1.1	8.2231739618478e-08	-2.10998495261997	0.041	0.179	0.00217486504942951	1	KCTD1
UBA2.1	8.36873466208983e-08	0.945388722227885	0.579	0.485	0.00221336294342952	1	UBA2
AFF3.1	8.4045786050943e-08	-0.696792895572411	0.293	0.518	0.00222284294947534	1	AFF3
SMTNL2.1	8.58851670576248e-08	1.7154779762592	0.202	0.094	0.00227149089834006	1	SMTNL2
NUMBL.1	8.72682661255829e-08	-2.032324608261	0.021	0.147	0.00230807110248942	1	NUMBL
MOCS1.1	8.86924736963084e-08	1.25946306592429	0.289	0.159	0.00234573854431997	1	MOCS1
TNS1.1	8.92742428242046e-08	0.611852647487838	0.711	0.656	0.00236112517421456	1	TNS1
TAB2.1	9.29104387345238e-08	-0.940938354724757	0.099	0.264	0.00245729528365068	1	TAB2
RBM43.1	9.35431847506347e-08	-0.736018791820791	0.149	0.346	0.00247403015028479	1	RBM43
AL442163.1.1	9.39977668250425e-08	-6.17269361759778	0	0.107	0.00248605293698873	1	AL442163.1
DAAM1.1	9.41991850920344e-08	-0.78137553358856	0.186	0.383	0.00249138004731413	1	DAAM1
COLGALT2.1	9.62660849579321e-08	-1.75088148514615	0.029	0.162	0.00254604541496739	1	COLGALT2
SGK3.1	9.71222825657344e-08	-1.26122341945571	0.099	0.268	0.00256869012929854	1	SGK3
C4orf48.1	9.80212147618294e-08	-1.06571014498326	0.083	0.243	0.00259246508802086	1	C4orf48
CHSY3	9.84812191553575e-08	-1.20494655013231	0.091	0.252	0.00260463128422089	1	CHSY3
MZT2A	9.96232143253293e-08	-0.519903758801579	0.207	0.427	0.00263483477247631	1	MZT2A
KRT10.1	1.03114862648366e-07	-0.416646937355719	0.517	0.73	0.00272718188732399	1	KRT10
CA3.1	1.03481686226893e-07	-4.39081892354655	0.004	0.115	0.00273688363732886	1	CA3
ATP6V0E1.1	1.03782498313553e-07	-0.462321168630792	0.649	0.811	0.00274483951539686	1	ATP6V0E1
TMEM248.1	1.03840540987928e-07	-0.601217825318103	0.19	0.4	0.00274637462804871	1	TMEM248
TCEAL5.1	1.05190334580842e-07	-5.17251247680053	0	0.107	0.00278207396899412	1	TCEAL5
EIF3J-DT	1.08205402329044e-07	-1.04678735211509	0.083	0.247	0.00286181648079856	1	EIF3J-DT
SIPA1L1	1.08736075919351e-07	0.966858823599731	0.496	0.397	0.002875851735915	1	SIPA1L1
THUMPD1.1	1.08955305406115e-07	-0.636777960620127	0.306	0.527	0.00288164991738094	1	THUMPD1
PLPP5.1	1.10115872477967e-07	-1.3812545923511	0.07	0.222	0.00291234459529728	1	PLPP5
ASPN	1.10701979561269e-07	1.68090903458949	0.281	0.162	0.00292784595543645	1	ASPN
KCNQ1OT1.1	1.13799405851965e-07	-0.589215880129389	0.202	0.4	0.00300976668597278	1	KCNQ1OT1
NR4A1	1.14243976793678e-07	0.723847946312561	0.744	0.633	0.0030215246982392	1	NR4A1
PPP1R13B.1	1.1564465627998e-07	-1.16779798594456	0.087	0.249	0.0030585698692929	1	PPP1R13B
SNAP25-AS1.1	1.17453628196621e-07	-1.39251020984517	0.021	0.145	0.00310641355854424	1	SNAP25-AS1
ANGPTL1	1.2015799545131e-07	-0.617709140822084	0.202	0.407	0.00317793866369625	1	ANGPTL1
SLMAP.1	1.20277876646227e-07	-0.747981885595727	0.165	0.371	0.00318110928153942	1	SLMAP
FANCL.1	1.21931271566914e-07	-0.626376330613277	0.091	0.261	0.00322483827040174	1	FANCL
BLVRA	1.25243308459721e-07	-0.565734276910655	0.149	0.343	0.00331243502214269	1	BLVRA
PSMD8.1	1.26721494890145e-07	0.592726764561814	0.727	0.688	0.00335153009685455	1	PSMD8
CRABP2.1	1.28345495970415e-07	-3.14196664928906	0.008	0.122	0.00339448167742552	1	CRABP2
LCP1.1	1.28778044417568e-07	-2.63689039994554	0.012	0.129	0.00340592171875583	1	LCP1
CENPP	1.30913731531438e-07	1.0965910166885	0.479	0.373	0.00346240637154348	1	CENPP
CAPG.1	1.33670103152224e-07	-3.72797167067718	0.008	0.12	0.00353530688817001	1	CAPG
CYP39A1.1	1.35867080883827e-07	-1.9557737358406	0.037	0.171	0.00359341255521545	1	CYP39A1
TBC1D16.1	1.35961835714261e-07	-0.989694544197219	0.112	0.288	0.00359591863097077	1	TBC1D16
PMP22.1	1.39455355368013e-07	0.54252552844712	0.74	0.681	0.00368831523877321	1	PMP22
PLBD1.1	1.39954105405362e-07	-1.02603459293112	0.091	0.254	0.00370150617976102	1	PLBD1
NME2.1	1.40223102832968e-07	0.372280675570696	0.905	0.911	0.00370862062372633	1	NME2
SELENOP.1	1.4097846837087e-07	-0.541227313137162	0.632	0.793	0.00372859853147277	1	SELENOP
PRMT1	1.43469961601048e-07	0.691768066822181	0.632	0.582	0.00379449354442452	1	PRMT1
EPB41L3.1	1.43816153481785e-07	-1.56664119691053	0.021	0.145	0.00380364962728626	1	EPB41L3
TLK1.1	1.44695737863211e-07	-0.691121962657553	0.215	0.425	0.0038269128750062	1	TLK1
SLC38A2.1	1.46005882871645e-07	0.592124276702321	0.888	0.889	0.00386156359018927	1	SLC38A2
COX6C.1	1.46172794989435e-07	0.407953796162147	0.913	0.899	0.00386597808188059	1	COX6C
VAT1.1	1.46638499946176e-07	-1.36915892239475	0.05	0.193	0.00387829504657646	1	VAT1
KRT222.1	1.4731519198381e-07	-4.95549684115648	0	0.104	0.00389619219758782	1	KRT222
SLC7A2.1	1.49017089195209e-07	0.667955599464609	0.446	0.291	0.00394120397503489	1	SLC7A2
SORCS2.1	1.49274139644028e-07	-1.05303842821968	0.178	0.365	0.00394800244530525	1	SORCS2
PARN	1.49844807389125e-07	-0.974972800812233	0.083	0.245	0.00396309546582758	1	PARN
GRIK1	1.5022836385332e-07	-3.02100793889455	0.021	0.142	0.0039732397671926	1	GRIK1
TBCK.1	1.5269403698126e-07	-0.688351165910097	0.174	0.369	0.00403845189008036	1	TBCK
ANKRD44.1	1.53106540308068e-07	-1.0558659236864	0.103	0.266	0.00404936177806777	1	ANKRD44
FIP1L1.1	1.53514167720584e-07	-0.729250233342175	0.169	0.361	0.00406014270787401	1	FIP1L1
PPP2R3A.1	1.5884846383727e-07	-1.18518805218305	0.103	0.271	0.00420122417156812	1	PPP2R3A
DSTN.1	1.59448937531524e-07	-0.812344178371597	0.843	0.929	0.00421710549983375	1	DSTN
MSC-AS1.1	1.60633120559721e-07	0.756971647631981	0.496	0.361	0.0042484247725635	1	MSC-AS1
LOXL1	1.6701081947842e-07	-1.43480910767475	0.07	0.22	0.00441710215356524	1	LOXL1
PGR.1	1.68338100683535e-07	-1.04607031676069	0.132	0.307	0.00445220608687814	1	PGR
AC083870.1	1.70141067126918e-07	1.73966970120602	0.413	0.303	0.00449989094337272	1	AC083870.1
SYTL3.1	1.70228784580354e-07	-2.37024023453839	0.017	0.135	0.0045022108945812	1	SYTL3
AL445250.1.1	1.72257574936957e-07	-2.46571121470127	0.037	0.167	0.00455586834193263	1	AL445250.1
RPN2	1.73493389068634e-07	-0.463657233835953	0.306	0.551	0.00458855315408724	1	RPN2
GLG1.1	1.74530832117695e-07	-0.57288788740321	0.31	0.548	0.00461599144784878	1	GLG1
STIM1	1.7521620382901e-07	-1.02045686344842	0.202	0.397	0.00463411815886965	1	STIM1
ITGA9-AS1.1	1.76907548842419e-07	-1.04241562759762	0.116	0.285	0.00467885085178429	1	ITGA9-AS1
ABCA9.1	1.78196010572097e-07	-2.5764243004982	0.017	0.134	0.00471292808761082	1	ABCA9
PDE3A.1	1.80842116783759e-07	0.596755987912446	0.438	0.279	0.00478291230469685	1	PDE3A
GMDS-DT.1	1.82699041835904e-07	-0.720497275949645	0.202	0.393	0.00483202425847598	1	GMDS-DT
HPCAL1.1	1.84960532286769e-07	-1.6501073237802	0.041	0.176	0.00489183615792046	1	HPCAL1
STK26.1	1.85340857900506e-07	-2.40294097525452	0.012	0.128	0.00490189500975258	1	STK26
SHISA4.1	1.87106185901137e-07	-0.963745320197919	0.083	0.24	0.00494858440471328	1	SHISA4
ADHFE1.1	1.87594515841423e-07	-1.34975660888091	0.05	0.191	0.00496149975497396	1	ADHFE1
TNFRSF19.1	1.89039110056656e-07	-2.60338445121712	0.017	0.134	0.00499970638277843	1	TNFRSF19
NPHP3.1	1.89745615110023e-07	-0.604939186163491	0.281	0.515	0.00501839202842989	1	NPHP3
ITGA4	1.9201743968939e-07	1.63564236351024	0.207	0.098	0.005078477244905	1	ITGA4
MIR222HG	1.92653304683971e-07	-1.76143590976844	0.029	0.156	0.00509529460228167	1	MIR222HG
HMOX2.1	1.93162270027818e-07	1.05246600863858	0.533	0.447	0.00510875571769573	1	HMOX2
SLC44A1.1	1.93204298030911e-07	-0.730271137985232	0.182	0.387	0.00510986727432154	1	SLC44A1
FAP.1	1.95589684740274e-07	-3.24567660717079	0.017	0.132	0.00517295598201076	1	FAP
CNRIP1.1	2.01364858711289e-07	-0.678806010003463	0.136	0.323	0.00532569778319618	1	CNRIP1
PARP4.1	2.01751343925553e-07	-1.44687158485274	0.045	0.183	0.00533591954414304	1	PARP4
HLA-DPA1	2.02358471344292e-07	-1.38486752667398	0.112	0.274	0.00535197685011382	1	HLA-DPA1
LPIN1.1	2.05798260948251e-07	-1.560980194021	0.062	0.204	0.00544295240555933	1	LPIN1
DEC1	2.08999013056468e-07	-4.42220652384947	0.004	0.11	0.00552760589731745	1	DEC1
ADD3.1	2.09943696191013e-07	-0.820676268117757	0.421	0.607	0.00555259087685991	1	ADD3
CNN2	2.10361161885789e-07	-1.09979896744018	0.107	0.276	0.00556363200955535	1	CNN2
LINC01990.1	2.13029899225172e-07	-2.34229160434398	0.021	0.141	0.00563421477470735	1	LINC01990
MT1X.1	2.15002801827385e-07	-1.26166858041446	0.219	0.411	0.00568639410273069	1	MT1X
L3MBTL3	2.18967627122793e-07	-1.20370459010074	0.07	0.222	0.00579125580214362	1	L3MBTL3
